SimulationTimeStamp,Received time, Sent time, FlowID, RouteID, SeqNumber, Dest, level, PktType, All latencies, Info Lat, Video Lat, Vibr Lat
2739,2762,1606665493934,1,-1,255,[192.168.1.91- 192.168.1.93],application,vibrational,23,,,23,x
2748,2771,1606665493943,1,-1,256,[192.168.1.91- 192.168.1.93],application,video,23,,23,,x
2757,2782,1606665493952,1,-1,257,[192.168.1.91- 192.168.1.93],application,info,25,25,,,x
2766,2784,1606665493961,1,-1,258,[192.168.1.91- 192.168.1.93],application,video,18,,18,,x
2777,2790,1606665493972,1,-1,259,[192.168.1.91- 192.168.1.93],application,vibrational,13,,,13,x
2786,2800,1606665493981,1,-1,260,[192.168.1.91- 192.168.1.93],application,info,14,14,,,x
2800,2814,1606665493995,1,-1,261,[192.168.1.91- 192.168.1.93],application,info,14,14,,,x
2809,2820,1606665494004,1,-1,262,[192.168.1.91- 192.168.1.93],application,info,11,11,,,x
2817,2833,1606665494012,1,-1,263,[192.168.1.91- 192.168.1.93],application,video,16,,16,,x
2826,2838,1606665494021,1,-1,264,[192.168.1.91- 192.168.1.93],application,info,12,12,,,x
2838,2851,1606665494033,1,-1,265,[192.168.1.91- 192.168.1.93],application,vibrational,13,,,13,x
2847,2868,1606665494042,1,-1,266,[192.168.1.91- 192.168.1.93],application,video,21,,21,,x
2855,2871,1606665494050,1,-1,267,[192.168.1.91- 192.168.1.93],application,info,16,16,,,x
2865,2878,1606665494060,1,-1,268,[192.168.1.91- 192.168.1.93],application,info,13,13,,,x
2880,2900,1606665494075,1,-1,269,[192.168.1.91- 192.168.1.93],application,vibrational,20,,,20,x
2892,2903,1606665494087,1,-1,270,[192.168.1.91- 192.168.1.93],application,info,11,11,,,x
2901,2920,1606665494096,1,-1,271,[192.168.1.91- 192.168.1.93],application,info,19,19,,,x
2915,2935,1606665494110,1,-1,272,[192.168.1.91- 192.168.1.93],application,video,20,,20,,x
2924,2937,1606665494119,1,-1,273,[192.168.1.91- 192.168.1.93],application,video,13,,13,,x
2932,2942,1606665494127,1,-1,274,[192.168.1.91- 192.168.1.93],application,video,10,,10,,x
